iter	Passed	Remaining
856	41296	6890
857	41339	6841
858	41391	6794
859	41434	6745
860	41488	6697
861	41544	6650
862	41586	6601
863	41653	6556
864	41711	6509
865	41770	6463
866	41805	6413
867	41855	6365
868	41890	6314
869	41927	6265
870	41957	6214
871	42003	6165
872	42029	6114
873	42069	6064
874	42114	6016
875	42165	5968
876	42214	5920
877	42280	5875
878	42348	5829
879	42402	5782
880	42443	5733
881	42477	5682
882	42516	5633
883	42557	5584
884	42577	5532
885	42597	5480
886	42613	5428
887	42654	5379
888	42702	5331
889	42737	5282
890	42775	5232
891	42838	5186
892	42878	5137
893	42923	5089
894	42961	5040
895	43004	4991
896	43043	4942
897	43090	4894
898	43165	4849
899	43229	4803
900	43275	4754
901	43340	4708
902	43362	4657
903	43398	4608
904	43432	4559
905	43469	4510
906	43524	4462
907	43559	4413
908	43608	4365
909	43627	4314
910	43659	4265
911	43692	4215
912	43737	4167
913	43780	4119
914	43805	4069
915	43835	4019
916	43886	3972
917	43937	3924
918	43981	3876
919	44040	3829
920	44084	3781
921	44128	3733
922	44148	3683
923	44178	3633
924	44206	3584
925	44258	3536
926	44303	3488
927	44372	3442
928	44431	3395
929	44482	3348
930	44525	3299
931	44573	3252
932	44600	3202
933	44646	3154
934	44685	3106
935	44731	3058
936	44777	3010
937	44840	2963
938	44889	2916
939	44953	2869
940	45035	2823
941	45084	2775
942	45164	2729
943	45217	2682
944	45252	2633
945	45303	2586
946	45339	2537
947	45378	2489
948	45440	2441
949	45495	2394
950	45541	2346
951	45565	2297
952	45598	2248
953	45647	2201
954	45690	2152
955	45742	2105
956	45771	2056
957	45821	2008
958	45893	1962
959	45960	1915
960	46051	1868
961	46102	1821
962	46145	1772
963	46182	1724
964	46227	1676
965	46290	1629
966	46340	1581
967	46396	1533
968	46434	1485
969	46487	1437
970	46531	1389
971	46581	1341
972	46618	1293
973	46656	1245
974	46725	1198
975	46763	1149
976	46809	1101
977	46844	1053
978	46900	1006
979	46955	958
980	47008	910
981	47065	862
982	47117	814
983	47173	767
984	47218	719
985	47263	671
986	47313	623
987	47362	575
988	47404	527
989	47443	479
990	47482	431
991	47521	383
992	47551	335
993	47596	287
994	47623	239
995	47667	191
996	47707	143
997	47755	95
998	47825	47
999	47895	0
